company,career,info,duty,require,favor
마이리얼트립,경력 1년 이상,"The North Star
""여행 경험의 완전한 연결""

마이리얼트립은 모든 여행자들이 더 쉽게 취향에 맞는 여행을 계획하고 경험할 수 있는 세상을 만들어 갑니다. 비전을 이루기 위해 향해 가장 창의적이고 혁신적인 방식으로 여행의 경험을 변화시켜 나갈 인재분들을 모시고 있습니다.

[함께 일하게 될 조직에 대해 알려드려요.]
Connected Experience 본부는 고객에게 보다 유기적으로 연결된 여행 경험을 제공하고, 파편화된 구매 여정을 더욱 seamless하게 만들기 위한 전략을 고민하는 조직입니다.
고객 여정 전반을 관통하는 시야로 문제를 정의하고, 기술과 디자인을 통해 본질적인 해결책을 설계합니다.","• 전사 주요 리더는 물론, 프로덕트 디자이너, 엔지니어, 데이터분석가, 사업 전략 등 다양한 직군과 긴밀히 협업하여 고객이 겪는 문제를 발굴하고, 이를 해결하기 위한 총체적인 전략을 수립하고 설계합니다.
• 고객뿐만 아니라 비즈니스가 처한 상황까지 고려한 완전한 경험을 설계합니다.
• 목표를 달성하기 위해 제품적으로 개선/변경되어야 할 부분을 정의하고, 실행해가며 비즈니스 임팩트를 만들어가요.
• 가설을 수립하고, 다양한 실험과 iteration을 통해 제품을 고도화하고 제품의 성장을 위해 본인만의 인사이트, 비전을 제시하고, 공동 목표를 향해 함께 몰입할 수 있도록 얼라인해요.
• 마이리얼트립에서 여행을 준비하는 모든 분들 삶에 의미 있는 변화를 만들어내요.
• 고객이 느끼는 불편을 다각도로 파악하기 위해 정성적, 정량적 데이터를 폭넓게 수집하고, 차별화된 경험을 설계하기 위해 끊임없이 고민하며 지속적으로 개선합니다.","• 여행, 커머스 관련 분야에서 제품 기획 및 프로세스 운영을 해보신 분
• 제품 및 서비스의 성장을 위한 개선 기획과, 안정적이고 효율적 제공을 위한 운영 기획을 주도적으로 수행하여 객관적으로 훌륭한 성과를 만들어낸 경험이 있으신 분
• 목표에 대한 지표 설정, 액션 아이템을 도출하고 성과를 만드는 역량이 있으신 분
• 분석적 사고 능력을 바탕으로, 복잡한 문제를 신속하게 파악하고 정리하시는 분
• 탁월한 커뮤니케이션 능력을 바탕으로, 다양한 이해관계자와 협업할 수 있으신 분",없음
티맵모빌리티,경력 5년 이상,"2500만 명이 선택한 국내 1위 내비게이션 TMAP은
이제 단순한 길 안내를 넘어, 이동의 순간 뿐 아니라 그 전과 후까지 아우르며
더 넓은 모빌리티 영역으로 사업을 확장해 나가고 있습니다.

장소 탐색과 예약은 물론,
활동 이후에는 데이터 기반 맞춤형 경로 안내와 장소 추천까지,
이동을 중심으로 한 라이프 스타일 전반을 혁신하고 있어요.

티맵이 대한민국 1등 내비게이션을 넘어
최고의 모빌리티 데이터 플랫폼으로 나아가는 여정에 함께해 주세요.","• AI 및 대규모 언어 모델(LLM)을 활용한 신규서비스, 컨텐츠 기획 및 전략을 수립합니다.
• 티맵 서비스에 AI 기술을 접목해 현 서비스 사용성을 개선합니다.
• 사용자 데이터 분석을 기반으로 서비스 요구사항 도출 및 기획합니다.
• AI 기반 서비스의 프로토타입 기획 및 운영 프로세스를 설계합니다.
• 내부 개발팀 및 디자인팀과의 협업을 통해 기획안 실행 및 고도화를 합니다.","• 콘텐츠 기획, 론칭, 운영 관련 경력 5년 이상이거나 이에 준하는 경험을 보유하신 분
• AI에 대한 이해를 바탕으로 한 서비스 기획 경험을 보유하신 분
• AI외 새로운 기술에 대한 이해를 바탕으로 한 서비스 기획 경험을 보유하신 분
• 사용자 데이터 기반 서비스 개선 경험을 보유하신 분
• 다양한 이해관계자(개발, 디자인, 비즈니스 팀 등)와 협업 및 원활한 커뮤니케이션이 가능하신 분","• AI/머신러닝 기술을 서비스에 적용한 프로젝트 경험을 보유하신 분
• 자연어 처리(NLP) 또는 생성 AI 기반 서비스 기획 경험을 보유하신 분
• 모빌리티 서비스에 대한 높은 이해 및 관심이 있으신 분
• 스타트업 혹은 대규모 플랫폼 서비스에서의 기획 업무 경험을 보유하신 분
• 데이터 분석 도구 활용 경험 있으신 분 (Tableau, Mixpanel SQL 등"
토스뱅크,신입-경력 10년,"[합류하게 될 팀에 대해 알려드려요]
• 토스뱅크의 인증팀은 고객이 안전하면서도 불편하지 않게 서비스를 이용할 수 있도록 인증 프로세스를 설계합니다. 실명법, 특금법, 전자금융거래법 등 금융 서비스에 필수적인 규제를 준수하면서, 동시에 토스다운 사용자 경험을 지켜내고 있어요.
• 프로덕트 오너, 프로덕트 디자이너, 서버 개발자, 프론트앤드 개발자와 한 팀이 되어, 문제 발굴부터 개선까지 제품 라이프사이클 전반을 주도적으로 경험할 수 있어요.","[합류하면 함께 할 업무에요]
• 신분증 인증, 계좌 점유 인증, 얼굴 인증 등을 포함함 인증 서비스를 안정적으로 운영해요.
• 지표를 기반으로 인증서비스의 문제 정의 및 개선 전략을 찾아요.
• 토스뱅크의 새로운 금융 서비스와 상품들이 출시될 때 마다 그에 맞는 인증체계를 수립해요.","[이런 분과 함께하고 싶어요]
• 상위 기획을 구체적인 실행 설계(테스트 케이스, 예외 시나리오, 리스크 관리)로 확장할 수 있는 분이 필요해요.
• 세부 실행 설계(예외 케이스, 테스트 시나리오 등)를 통해 서비스 품질을 높인 경험이 있으면 좋아요.
• 코어 로직까지 파악하고, 프로젝트 전 과정을 오너십 있게 리드해본 경험이 있으면 좋아요.
• 기술적 배경지식을 갖추고 있어 개발자와 원활하게 소통할 수 있는 분이면 좋아요.
• 보안/인증 도메인에 대한 이해와 실무경험이 있는 분이면 좋아요.","[이력서는 이렇게 작성하시는 걸 추천해요]
• 담당하신 제품/서비스에 대한 개선 기획 업무에 있어서 직접 이바지한 부분을 상세히 작성해 주세요.
• 프로젝트별 나열이 아닌, 제품 운영의 문제점을 정의하고, 해결 전략을 세운 경험을 나타내주세요.
• 실행에 대한 정량적인 성과 측정과 기준을 제시해 주세요."
캐시닥,신입,"[회사 소개]
캐시닥은 NO.1 건강관리 앱 캐시워크와 피부 · 미용 · 성형 EMR 및 CRM 업계 1위 기업 전능아이티가 만든 미용의료 정보 플랫폼입니다.

캐시닥은 플레이스토어 기준 건강/의료 분야 1위 플랫폼으로
전국 병·의원 시술 정보를 제공하는 '병원이벤트 커뮤니티'
내 주변 병원과 약국을 한눈에 찾을 수 있는 '병원·약국 찾기'
실비보험 청구, 금융상품 정보 제공을 하는 '보험·금융 연계 서비스'
등의 서비스를 제공하고 있습니다.

캐시닥은 ""일상 속에서 건강관리와 의료 선택을 더 쉽고 합리적으로""라는 목표를 바탕으로,
사용자에게는 신뢰할 수 있는 병원·시술 등 의료 정보의 전달을
병·의원에는 효과적인 환자유입 및 마케팅 솔루션을 제공하며,
국내 대표 헬스케어 플랫폼으로서의 입지를 강화하고 있습니다.

[직무 소개]
캐시닥 서비스 기획파트는 캐시닥 플랫폼의 전반적인 서비스 기획을 담당하는 부서입니다. 시장의 트렌드와 사용자 니즈를 분석하여 새로운 서비스와 기능을 기획하고, 개발팀, 디자인/운영 부서와 협업해 서비스가 실제로 구현·운영될 수 있도록 총괄하는 역할을 합니다.

[캐시닥 서비스기획 주요 업무]
* 캐시닥 캐시리뷰 등 플랫폼 서비스 전반 기획 업무
* 개발·디자인 부서와 협업 및 프로젝트 관리 업무
* 신규 서비스 및 기능 기획 업무
* 서비스 개선 및 고도화 업무

캐시닥은 단순한 콘텐츠 운영을 넘어, 시장 흐름과 실제 병원 운영 상황을 꿰뚫는 통찰력을 바탕으로
고객사의 니즈와 사용자의 시선까지 고려하는, 현장 감각과 데이터 기반 기획력을 모두 갖춘 팀입니다.

미용의료 정보 플랫폼에서의 역량을 키우고 싶은 분이라면, 캐시닥 운영팀에서 함께 성장해보아요.","* 캐시닥 캐시리뷰 등 플랫폼 서비스 전반 기획 업무
* 개발·디자인 부서와 협업 및 프로젝트 관리 업무
* 기획 문서 작성(스토립보드, 요구사항 정의 등)
* 신규 서비스 및 기능 기획 업무
* 서비스 개선 및 고도화 업무","* 서비스 기획 및 운영 업무 경험자
* 서비스 기획 문서 작성 능력
* 원활한 커뮤니케이션 및 협업 능력",헬스케어/뷰티 관련 플랫폼 기획 업무 유경험자
뱅크샐러드,신입 이상,"[뱅크샐러드는 데이터 서비스로 유저들의 삶을 이롭고 풍요롭게 합니다.]
뱅크샐러드의 미션은 유저가 자신의 정보를 언제 어디서나 쓸수 있는 환경을 만들고, 유저 이익이 극대화된 디지털 경험을 설계하는 것입니다. 우리는 사람들에게 가장 중요한 가치인 '돈'과 '건강' 분야에 특히 집중하고 있습니다.
혁신적인 생각을 담은 제품을 끊임없이 내는 회사가 스타트업이라고 생각합니다.
우리는 자동 가계부(2017), 금융 통합 조회 (2018), 소비 기반 카드 추천(2018), 대출 비교 서비스(2019), 신용 점수 올리기(2019), 금융 비서 (2020), 마이데이터 (2022), 무료 유전자 검사(2023) 건강 맞춤 보장 분석 (2024) 샐러드 게임(2025), 최저금리 알리미(2025)를 국내 최초로 출시하며 혁신성을 입증해 왔습니다.
최근 2년간 월 매출은 800% 성장하였고 월 경상 이익(bep)을 돌파하여 지속가능성과 안정성을 확보하였습니다.
금융과 건강을 아우르는 데이터 시너지를 바탕으로 금융업으로 확장해 나감으로써 5년뒤에는 디지털 금융 지주 회사, 10년 뒤에는 정보를 회사의 핵심 자산으로 각종 사업을 확장해 나가는 데이터 지주 회사가 되고자 합니다.
한계 없이 문제를 해결하는 문화, 데이터를 가장 안전하게 잘 활용하는 프로세스를 함께 만들고, 제품과 비즈니스에서 실질적 성과를 만들고자 하는 도전 정신 충만한 동료들과 함께하고 싶습니다.

[뱅크샐러드 PM은 이렇게 일하고 있어요.]
뱅크샐러드 PM은 회사의 실시간 재무 정보, 제품 관련 히스토리와 각종 실험 결과에 모든 접근 권한을 가지고 조기 책임제(EARLY OWNERSHIP)를 바탕으로 자신이 맡은 제품의 성장을 주도적으로 책임지는 미니 CEO에요.
마이데이터로 수집된 고객 데이터 및 뱅샐 독자적으로 보유한 상품 데이터, 리워드 마케팅이 가능한 송금 인프라, 데이터 프로덕트 제작 전 과정의 생산성을 책임지는 개발 인프라, 가설의 정교한 정량적 검증이 가능한 실험 플랫폼 환경에서 자율과 책임을 기반으로 일하고 있어요.
중장기적으로는 고객 가치 혁신 ＞ 완벽한 고객 경험 구현 ＞ 성장 모델 활성화라는 ZERO TO ONE 전략에 기반한 제품 로드맵을 바탕으로, 단기적으로는 핵심 가설 ＞ 구체화 ＞ 프로토타입 ＞ 성과 ＞ 학습 ＞ 개선 을 통해 PMF를 찾아나가는 애자일 프로세스를 바탕으로 일합니다.
뱅크샐러드의 제품 조직은 PA 단위로 운영됩니다. PA는 Product Area의 줄임말로 독립된 하나 이상의 시장을 전담하며 Make들(PM, 디자이너, 개발자, 데이터 분석가)이 독립된 의사결정과 실행을 하는 애자일 조직(크로스 펑셔널 조직)이에요.
뱅크샐러드에는 금융 쇼핑(대출, 카드, 앱테크) / PFM (금융 및 자산관리 서비스) / 건강 & 보험 3개의 PA가 있어요.","[PFM PA는 구체적으로 다음과 같은 일들을 합니다.]
PFM(Personal Finance Management) PA의 미션은 마이데이터 기반으로 사용자의 자산과 소비 데이터를 단순히 조회하는 것을 넘어, 누구나 쉽고 효과적으로 자산을 관리하고 증식할 수 있도록 돕는 것입니다.
사용자가 자산 관리에 동기부여 받도록 맞춤형 자산 분석, 자산 증식 목표 설정, 참여형 자산 관리 서비스 등을 제공합니다.

1. 파편화된 자산 정보를 가장 쉽고 직관적으로 확인할 수 있습니다.
가계부, 자산 조회 및 분석, 종잣돈 모으기, 금융 일정 관리 등 자산 관리의 핵심 요소들을 직관적으로 제공합니다.
다양한 금융 상품을 보유하더라도 한 눈에 쉽게 파악할 수 있도록 하며, 이를 통해 자산 관리를 실행할 수 있도록 돕습니다.
2. 자산 관리에 직접적인 동기를 부여합니다.
어렵고 지루하게 느껴지는 자산 관리 경험을 재미와 보상을 통해 적극적으로 참여하는 경험으로 바꾸어가고 있습니다.
친구들과 함께하는 '샐러드게임' 서비스는 지출을 줄이면서 절약의 재미와 추억, 그리고 성취감을 느끼게 합니다.
이와 유사하게 자산 관리가 일상에 자연스럽게 녹아들도록 새로운 방식의 서비스도 확대할 예정입니다.
3. 서비스를 더욱 혁신적으로 발전시키기 위해 데이터 품질과 확장성을 책임집니다.
마이데이터 품질을 지속적으로 높이는 동시에 가계부 내역을 최적화하고, 자산 데이터 및 금융 상품 정보 등의 소스를 확장하며 서비스를 더욱 정교하게 만들어가고 있습니다.
이를 위해 데이터 관리와 문제 해결 역량을 갖춘 동료를 찾습니다.

[PFM PA의 PM은 이러한 업무들을 주로 수행합니다.]
• 고객 중심의 사고를 기반으로, PFM 시장에서 사용자가 직면하는 문제를 주도적으로 발굴합니다.
• 솔루션을 통해 제공할 차별화된 가치를 정의하고, 이를 효과적으로 전달하기 위한 전략을 도출 및 실행합니다.
• 사용자가 최초로 유입되어 데이터를 연결하고, 솔루션을 통해 자산을 증식하며 만족을 느끼는 순간까지의 전체 사용자 여정을 정교하게 설계합니다.
• 사용자의 정량적·정성적 피드백을 기반으로 데이터의 정확성을 강화하고, 서비스 품질을 지속적으로 개선해 나갑니다.","[이런 경험을 지향하시는 분들과 여정을 함께하고 싶어요.]

• 유저 관점에서 사고하여 경쟁력 있는 가치 제안을 개발하고, 유저의 후생 증대와 편익 극대화 기준을 정량화(북극성 지표)하고 이를 기준으로 제품을 고도화하는 경험이 있는 분들을 원해요.
• MAKER들과 애자일 조직에서 가설 수립 및 가설 검증 이터레이션 통해 PMF를 끈질기게 찾아 본 분을 원해요.
• 모바일 비즈니스나 트래픽 비즈니스의 핵심 지표 정의, 성장 로드맵을 구축하고 실행해본 경험이 있는 분을 원해요.
• 도메인 경험은 없어도 되나, 도메인 학습에 있어 두려움이 없이 호기심을 가지고 있는 분을 원해요.
• 직접 의사결정을 내리고 성과까지 온전히 책임지는 분, 여정 상 번거로운 일이나 어려운 일들을 마다하지 않고 손수 실질적 성과까지 이끌어내는 분들은 뱅크샐러드에서 크게 인정받습니다.
• 한계 없이 문제를 풀 수 있다는 도전 정신이 투철하고, 스스로의 성과로 신뢰를 얻고자 하는 의지가 강하며, 뛰어나지만 항상 발전을 추구하는 독립심을 갖춘 사람과 일하고 싶습니다.",없음
마이리얼트립,경력 2년 이상,"The North Star
""여행 경험의 완전한 연결""

마이리얼트립은 모든 여행자들이 더 쉽게 취향에 맞는 여행을 계획하고 경험할 수 있는 세상을 만들어 갑니다. 비전을 이루기 위해 향해 가장 창의적이고 혁신적인 방식으로 여행의 경험을 변화시켜 나갈 인재분들을 모시고 있습니다.

[함께 일하게 될 팀에 대해 알려드려요.]
코어플랫폼개발팀은 마이리얼트립 모든 서비스의 핵심 인프라와 플랫폼을 설계하고 확장하는 팀입니다. Site Reliability Engineering, Platform Software, Cloud Infrastructure, CI/CD, Database 관리 등 서비스 안정성과 성능을 책임지는 전사 기술 기반 조직으로서, 빠르게 변화하는 요구사항 속에서도 고가용성·고신뢰성 인프라를 유지하며 기술적 리더십을 발휘하고 있습니다.

[코어플랫폼개발팀에서 일하게 되면]
• 전사 아키텍처를 리드합니다. 전사 아키텍처를 책임지고 주요 기술 의사결정을 주도하며, 마이리얼트립의 기술 방향성을 직접 이끌어 갑니다.
• 최신 기술을 자유롭게 탐구하고 적용할 수 있습니다. 특정 기술 스택에 얽매이지 않고, 문제 해결에 가장 적합한 기술을 직접 선택하고 실험할 수 있습니다.
• 서로의 전문성을 존중하고 열린 대화를 지향합니다. 직급이나 역할에 얽매이지 않고, 누구든지 의견을 제안하고 논의할 수 있는 수평적인 문화 속에서 일합니다.

우리는 다양한 기술과 도메인의 경계를 넘나들며 스스로 문제를 정의하고 해결하며, 기술적 영향력을 넓혀가고자 하는 분을 기다리고 있습니다.","• 여행자, 파트너 회원의 가입, 로그인, 인증, 권한 관리, 예약, 클레임 등 핵심 기능을 고도화하며, 사용자 경험을 저해하는 원인이 무엇인지 적극적으로 발굴하여 해결해요.
• 담당 도메인 뿐만 아니라 마이리얼트립의 고객만족 극대화를 위해 전방위적인 정보와 리소스를 획득하고, 그에 기반해 비전과 목표를 세워요.
• 목표를 달성하기 위해 제품적으로 개선/변경되어야 할 부분을 정의하고, 실행해가며 비즈니스 임팩트를 만들어가요.
• 가설을 수립하고, 다양한 실험과 iteration을 통해 제품을 고도화하고 제품의 성장을 위해 본인만의 인사이트, 비전을 제시하고, 공동 목표를 향해 함께 몰입할 수 있도록 얼라인해요.
• 마이리얼트립에서 여행을 준비하는 모든 분들 삶에 의미 있는 변화를 만들어내요.","• 여행, 커머스 관련 분야에서 2년 이상 제품 기획 및 프로세스 운영을 해보신 분
• 제품 및 서비스의 성장을 위한 개선 기획과, 안정적이고 효율적 제공을 위한 운영 기획을 주도적으로 수행하여 객관적으로 훌륭한 성과를 만들어낸 경험이 있으신 분
• 목표에 대한 지표 설정, 액션 아이템을 도출하고 성과를 만드는 역량이 있으신 분
• 분석적 사고 능력을 바탕으로, 복잡한 문제를 신속하게 파악하고 정리하시는 분
• 탁월한 커뮤니케이션 능력을 바탕으로, 다양한 이해관계자와 협업할 수 있으신 분","• 외부 업체와 연동 업무를 논의하고 수행해 본 경험을 보유한 분
• 신규 사업 개발 또는 영업하여 성장을 만들어본 경험이 있으신 분"
에이블리코퍼레이션,경력 1년 이상,"• AI 프로덕트 매니저는 “에이블리 앱의 탄탄한 기반”이란 과제를 해결하는 [파운데이션 스쿼드]에 소속돼요.
• 생성형 AI 기술을 활용한 신규 기능을 기획·개발하며, 조직 전반의 업무 효율성과 생산성을 혁신해요. 동시에 유저에게는 긍정적인 상품 탐색 경험을 제공해 서비스의 품질을 제고에 기여해요.","• 생성형 AI 기반의 다양한 커머스 기능(동일 상품 자동 분류, 리뷰 자동 검수, 가품 탐지 등)을 기획하고, 개발 전반을 리딩해요.
• 신규 AI 기능 개발에 필요한 조직 내외부의 정량 및 정성 데이터를 분석하여 요구사항을 구조화해요.
• 생성형 AI 기술 동향을 살피고 에이블리 비즈니스와 접목할 수 있는 방법을 적극적으로 모색하고 제안해요.","• 에이블리 조직문화에 공감하여, One team으로 GRIT하게 일하며 Impact를 만들어갈 의지가 있는 분을 찾아요.
• 생성형 AI에 대한 높은 이해도를 바탕으로, 1년 이상의 AI 제품 PM 경험을 보유한 분을 찾아요.
• 제품 개발의 전 과정(기획 배포 운영 개선)를 주도해본 경험이 있는 분을 찾아요.
• 비즈니스 상황을 종합적으로 사고하고, 주어진 과제를 재정의하여 더 나은 방향으로 이끌어 본 경험이 있는 분을 찾아요.",없음
카카오페이(kakaopay),경력 10년 이상,"우리 조직은 단순한 업무 개선팀이 아니에요. 우리는 전사 크루들의 잠재력을 200% 끌어올려 최고의 성과를 달성하도록 돕는 '혁신의 엔진' 으로, 마치 히어로 영화 속 기술팀처럼, 여러분의 숨겨진 능력과 열정을 깨워줄 최첨단 도구와 혁신적인 프로세스를 제공하고 있어요. 우리는 '불가능을 가능으로!'라는 미션을 가지고 생산성 및 효율 극대화, 크루들의 고민 해결, 끊임없는 유지보수 및 관리를 통한 지속적인 혁신을 위해 노력해요.

우리 팀에 합류하면,
• 업무 효율 마스터: 전사 크루의 업무 생산성과 효율성을 책임지는 핵심 인재로 성장할 수 있어요.
• 혁신 설계자: 기존 시스템/프로세스 개선 및 신규 시스템 구축을 통해 창의력을 마음껏 발휘할 수 있어요.
• 성장의 기회: 다양한 프로젝트 경험과 전문성 향상을 통해 커리어 성장을 이뤄낼 수 있어요.
• 최고의 동료: 혁신을 즐기고 서로를 지지하는 최고의 동료들과 함께 성장할 수 있어요.

망설이지 말고 지금 바로 우리 팀에 합류하여 함께 혁신의 역사를 만들어 보세요!","내부 고객 문제를 발견하고 기회를 찾아내요.
• 사용자 니즈 분석, 요구사항 분석/설계 및 상세 기획을 통한 어려움과 니즈를 해결해요.
• 플랫폼을 기획하고 전략을 수립하여 고도화해요. 의사결정은 데이터를 기반으로 수행해요.
• 전사 조직 또는 실/팀 목표와 연결하여 우리가 나아갈 방향을 설정해요.

문제 해결을 위한 제품 또는 플랫폼을 정의하고 설계해요.
• 발견한 문제를 해결하기 위한 구체적인 제품 요구사항을 논리적으로 명확하게 정의하고 문서화해요.
• 개발자, 인프라, 네트워크 등 다양한 이해관계자와 긴밀하게 협업하며 최적의 사용자 경험과 기술 구현 방안을 고민하고 결정해요.
• 전사 조직의 업무 생산성과 효율성을 높이기 위한 아이디어를 발굴하고 실제 적용해요.

플랫폼(제품)을 출시하고 성과를 관리해요.
• 플랫폼(제품)이 성공적으로 출시될 수 있도록 업무(개발) 우선순위를 정하고, 내/외부 다양한 이해관계자들과 협업하며 프로젝트 성과를 만들어가요.
• 핵심지표(KPI) 또는 OKR 분석을 통해 가설을 검증하고, 개선점을 찾아 끊임없이 플랫폼(제품)을 성장 시켜요.","• 운영 환경 개선을 위한 기존 서비스 개선 및 신규 개발을 위한 플랫폼/서비스 기획 경험이 있는 분을 원해요.
• AI 기술을 활용한 비즈니스 개선 및 프로세스 비효율 개선 경험이 있는 분을 원해요.
• 내/외부 엔지니어들과 협업 및 소통을 통한 플랫폼 제공 경험이 있는 분을 원해요.
• 서비스 및 플랫폼의 효율적 가치를 창출 할수 있는 기술과 시스템 제공 경험이 있는 분을 원해요.
• 데이터 분석 기반의 문제 해결 능력 경험이 있는 분을 원해요.","• 기술적 경험 및 이해도가 높으신 분이면 더욱 좋아요.
• 애자일 또는 스크럼 방법론에 대한 이해가 있는 분이면 더욱 좋아요.
• UX/UI에 대한 이해도가 있는 분이면 더욱 좋아요."
에이피알,경력 2-4년,"[PM] 앱 서비스 기획자 경력사원 모집

*함께하실 에이지알 기획팀을 소개합니다*
에이지알 기획팀은 서비스와 제품 전반의 성장을 설계하고 실현하는 핵심 조직입니다.

고객의 니즈와 시장 변화를 빠르게 포착해 신규 서비스를 기획하고,
데이터 기반 분석으로 운영 전략을 수립합니다.
또한 UX/UI를 면밀히 검토하여 문제를 발견하고,

더 직관적이고 편리한 사용 환경을 만들어가는 것을 목표로 합니다.

서비스 기획자로 합류하신다면, 디자인·개발·마케팅 등 다양한 조직과 긴밀히 협업하며 아이디어를 실제 서비스로 구현하는 과정을 주도하게 됩니다.

단순한 기획을 넘어 데이터와 유저 인사이트를 기반으로 서비스의 방향성을 제시하고 브랜드 성장을 이끄는 핵심 역할을 맡게 됩니다.

새로운 서비스의 출발점에 함께하고 싶거나, 자신의 아이디어와 실행력으로 사용자 경험을 개선하며 성과를 만들어가고 싶은 분을 기다립니다.","• 신규 서비스 기획 및 운영
- 고객 니즈 및 시장 트렌드 분석을 기반으로 새로운 서비스 아이디어 도출
- 서비스 기획안 작성, 기능 정의, 정책 수립 및 기획 문서화
• UX/UI 개선
- 사용자 행동 데이터 분석 및 VOC 수집을 통한 문제점 도출
- 와이어프레임, 플로우 차트 등 기획 산출물을 작성하여 UX 개선안 제안
- 디자이너·개발자와 협업해 서비스 품질 및 사용성 최적화
• 기존 서비스 유지 및 보수
- 서비스 KPI 수립 및 모니터링
- 고객 데이터 분석 등을 통해 개선 인사이트 도출
- 지표 기반 서비스 운영 전략 수립","• 서비스 기획 경력 2년 이상 5년 미만
• 커머스, 헬스 케어, 멤버십 등 웹/앱 기반의 다양한 서비스 기획 경험 보유자
• UI/UX 구조 및 플로우에 대한 이해와 기획 경험이 있으신 분
• 고객 데이터를 기반으로 한 이슈 분석 및 개선 기획 경험이 있으신 분","• 뷰티, 헬스케어, 커머스 서비스 기획 경험
• 유저 여정(User Journey), 퍼널 분석, GA분석 등 고객 행동 분석 경험이 있으신 분
• 서비스 운영 후 리텐션율 증가, 이탈율 개선 등의 경험이 있으신 분
• 보훈 및 장애 대상자는 관련 법령에 따라 우대"
씨제이이엔엠(CJ ENM),경력 3년 이상,"[조직/도메인 설명]
Mnet Plus Product팀은 CJ ENM의 글로벌 K-POP OTT & 팬덤 플랫폼인 Mnet Plus의 제품 전략과 실행을 총괄하는 조직입니다.
우리는 방송과 공연, 아티스트 IP를 기반으로 다양한 팬 경험을 디지털로 확장하며, 전 세계 K-POP 팬들이 콘텐츠를 즐기고 아티스트 IP와 상호작용하면서 새로운 가치를 창출할 수 있도록 제품을 설계합니다.
Product팀은 기획, 디자인, 사용자 리서치, 고객 경험을 아우르는 전 과정을 내부에서 높은 완결성으로 만들어내며, 엔지니어링 조직과 긴밀히 협력하여 콘텐츠와 기술을 연결하는 핵심 허브 역할을 수행하고 있습니다.

[주요 업무 및 범위]
Mnet Plus Product팀은 글로벌 K-POP OTT & 팬덤 플랫폼을 이끄는 조직으로, 방송·공연·아티스트 IP를 기반으로 한 다양한 팬 경험을 설계합니다.
팀에 합류하시게 되면 투표, 라이브·영상, 포토카드 등 핵심 기능 기획부터 유료 영상, 디지털 굿즈, 광고 등 새로운 수익 모델 개발까지 경험할 수 있으며,
전 세계 팬덤을 위한 글로벌 서비스를 직접 만들어가는 커리어 성장을 경험하게 됩니다.

[팀의 목표/비전]
Mnet Plus Product팀의 비전은 “No.1 Global K-POP Platform”으로, 전 세계 팬들이 가장 사랑하고 가장 많이 찾는 K-POP 플랫폼으로 성장하는 것입니다.
우리의 미션은 콘텐츠와 팬덤, 그리고 기술을 연결하여 팬 경험의 깊이와 가치를 극대화하는 데 있습니다.
이를 위해 우리는 다국어와 다지역 환경에 최적화된 글로벌 확장을 추진하고, 상품 포트폴리오의 다각화를 통해 지속적인 매출 성장을 실현하고자 합니다.
나아가 전 세계 K-POP 팬들이 적극적으로 참여할 수 있는 인터랙션을 강화하여, 누구도 경험하지 못한 차별화된 팬 경험을 제공하는 것을 목표로 하고 있습니다.","주니어 프로덕트 매니저는 신규 프로덕트 아이디어 발굴과 서비스 운영 효율화를 담당하며, 데이터 기반의 실행과 학습을 통해 제품의 완성도를 높이는 역할을 수행합니다.

• 글로벌 시장과 팬덤 트렌드를 분석하여 신규 프로덕트 아이디어 발굴
• 전시 영역의 주요 지표를 추적·분석하여 서비스 효과 검증 및 개선 방향 도출
• 어드민 기능 개선 및 전시·운영 프로젝트 관리로 효율적인 서비스 운영 지원
• VOC와 사용자 데이터를 기반으로 개선안을 도출하고 제품 기획에 반영
• 노출 정책과 운영 가이드라인을 수립하여 서비스 일관성과 품질 확보","• 학사 이상, 전공 무관
• IT/디지털 플랫폼/서비스 운영 및 관리 관련 업무 경험이 최소 3년 이상인 분
• 사업/Product/마케팅 등 다양한 유관 부서와의 협업 및 커뮤니케이션 능력이 뛰어나신 분
• 콘텐츠·서비스 운영 프로세스에 대한 이해가 있으신 분","• OTT/엔터테인먼트/커머스 플랫폼 운영 경험을 보유하신 분
• 아티스트·공연 IP 기반 서비스 경험이 있으신 분
• 데이터 분석 툴(GA4, BigQuery, Amplitude 등) 활용 경험을 보유하신 분
• 글로벌 서비스 운영 경험 또는 외국어 활용 능력을 갖추신 분

[캐릭터&성향]
• 직군과 관계없이 다양한 유관부서/관계자들과 원활한 커뮤니케이션을 하려고 노력하는 분
• 다양한 변수에 유연하게 대응하며 여러 업무에 대해 우선순위와 마감을 관리하고, 적극적으로 문제해결하려고 노력하는 분
• 일에 대한 열정, 책임감을 겸비하고 함께 일하는 동료에 대한 존중과 배려가 있는 분

[업무환경 특이사항]
방송 및 콘텐츠 라인업에 따른 업무 집중기간 존재 (유연근무제 활용 가능)
현장대응 업무를 위한 국내외 출장 필요"
